name,category_cd,address_cd,address_detail,latitude,longitude
황금룡,FC03,LA150,디지털로9길 68 비122호 비121호 지번,,
실크로드,FC03,LA150,가산로 147-5 지번,,
칭따오,FC03,LA150,범안로 1130 디지털엠파이어206호 지번,,
짬뽕의 제왕,FC03,LA150,가산디지털2로 101 한라원앤원타워 2층 215호 지번,,
믹스토랑 금천구청점,FC04,LA150,시흥대로79길 15 리솜메디라이프 1층 106호~108호 지번,,
영향,FC04,LA150,남부순환로108길 7 1층 지번,,
벨 구스토,FC04,LA150,시흥대로 315 롯데캐슬골드파크타워960 201호 지번,,
매드포갈릭,FC04,LA150,디지털로10길 9 현대시티아울렛 8층 지번,,
파슷타애요 독산점,FC04,LA150,시흥대로88가길 39 1층 지번,,
더제이케이키친박스 가산디지털점,FC04,LA150,가산디지털1로 145 에이스하이엔드타워3 1층 111호 지번,,
포타제,FC04,LA150,디지털로9길 68 1F (대륭포스트타워 5차) 지번,,
롱블랙스푼,FC04,LA150,가산디지털1로 131 BYC하이시티 B동 2층 지번,,
미들루프,FC04,LA150,시흥대로123길 66 1층 지번,,
세라즈피자펍,FC04,LA150,가산디지털1로 168 A동 2층 222호 지번,,
오비스트로,FC04,LA150,시흥대로63길 11 1층 지번,,
마피아피자앤펍,FC04,LA150,가산디지털1로 168 우림 라이온스밸리A동 지하1층 B106-1호 지번,,
무드무드,FC04,LA150,탑골로4길 58 지번,,
애슐리퀸즈 가산퍼블릭점,FC04,LA150,디지털로 178 A동 B1층 지번,,
플러버,FC04,LA150,시흥대로 291 롯데캐슬골드파크3차 WEST동 208호 지번,,
미태리 가산한라원앤원점,FC04,LA150,가산디지털2로 101 1층 126호 지번,,
백만그릇파스타,FC04,LA150,디지털로 207 2층 지번,,
피자EPP 구로가산점,FC04,LA150,가산로9길 12-8 1동 111호 지번,,
한남동 파스타,FC04,LA150,시흥대로128길 10 지상1층(독산동) 지번,,
인크커피 가산점,FC05,LA150,가산디지털2로 127-20 지번,,
우지커피 독산시티렉스점,FC05,LA150,시흥대로 399 지상1층 103호 지번,,
아로케,FC05,LA150,디지털로 121 1층 105호 AROKE 지번,,
카페 스미다,FC05,LA150,벚꽃로 298 대륭포스트타워6차 B143호 지번,,
커피사피엔스 가산 한라원앤원점,FC05,LA150,가산디지털2로 101 1층 119호 지번,,
메종크로키,FC05,LA150,범안로 1130 1층 106-1호~3호 지번,,
그레이핍플 가산디지털단지점,FC05,LA150,가산디지털1로 181 가산W센터 104호 지번,,
애월빵공장 가산점,FC05,LA150,디지털로10길 37 지번,,
블루샥 가산DK점,FC05,LA150,가산디지털2로 144 현대테라타워 가산DK 103호 지번,,
카페 구움,FC05,LA150,시흥대로 315 2층 212호 (롯데마트건물아닙니다) 지번,,
5TO7&구욱희씨 가산점,FC05,LA150,디지털로 178 가산퍼블릭 1층 M-111호 지번,,
애퍼블,FC05,LA150,시흥대로123길 30 1층 애퍼블 지번,,
온초점,FC05,LA150,남부순환로124길 17 1층 101호 지번,,
카페인잇 현대시티아울렛 가산점,FC05,LA150,디지털로10길 9 현대시티아울렛가산점 7층 지번,,
킴스델리마켓 가산퍼블릭점,FC05,LA150,디지털로 178 M-132호 지번,,
더빈마켓,FC05,LA150,"시흥대로 343 1층, 2층 지번",,
데미안,FC05,LA150,시흥대로 291 310동 142호 지번,,
힛더스팟 베이커리 에이트,FC05,LA150,가산로 145 1층 101호 지번,,
원두서점,FC05,LA150,서부샛길 578 1층(가산동) 지번,,
커피사피엔스 가산어반워크점,FC05,LA150,가산디지털2로 135 1동 102호 지번,,
잔,FC06,LA150,시흥대로52길 38 지번,,
상신상회,FC06,LA150,시흥대로56길 22 102호 지번,,
View,FC06,LA150,시흥대로52길 24 1층 지번,,
줄까말까 퓨전포차,FC06,LA150,범안로 1130 103호 지번,,
파티엘하우스,FC06,LA150,디지털로 173 엘리시아지식센터 3층 지번,,
